campaign_id,product_id,campaign_start,campaign_end,promo_code,promo_type,campaign_discount_pct
CMP-P117-1,P117,2025-01-07,2025-03-02,PROMO_06,AppPush,15
CMP-P117-2,P117,2025-09-02,2025-11-30,PROMO_02,Percent,15
CMP-P117-3,P117,2026-01-08,2026-03-17,PROMO_08,Percent,10
CMP-P118-1,P118,2025-05-18,2025-07-18,PROMO_08,Seasonal,10
CMP-P118-2,P118,2026-01-05,2026-03-23,PROMO_02,Bundle,10
CMP-P118-3,P118,2026-05-11,2026-07-01,PROMO_06,Seasonal,25
CMP-P119-1,P119,2025-01-13,2025-03-06,PROMO_05,AppPush,15
CMP-P119-2,P119,2025-09-09,2025-10-17,PROMO_04,Bundle,25
CMP-P119-3,P119,2026-05-16,2026-07-31,PROMO_01,Seasonal,10
CMP-P120-1,P120,2025-05-14,2025-07-17,PROMO_03,AppPush,25
CMP-P120-2,P120,2026-01-05,2026-03-22,PROMO_06,Seasonal,10
CMP-P120-3,P120,2026-05-04,2026-07-08,PROMO_05,Bundle,20
